Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Cardiology,Department_Maternity,Department_Neurology,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Admin,JobRole_Administrative,JobRole_Nurse,JobRole_Other,JobRole_Therapist,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Gender_binary,OverTime_binary,Attrition
30.0,829.0,1.0,1.0,3.0,88.0,2.0,3.0,3.0,8474.0,20925.0,1.0,22.0,4.0,3.0,0.0,12.0,2.0,3.0,11.0,8.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
20.0,871.0,6.0,3.0,4.0,66.0,2.0,1.0,4.0,2926.0,19783.0,1.0,18.0,3.0,2.0,0.0,1.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
33.0,1075.0,3.0,2.0,4.0,57.0,3.0,1.0,2.0,2277.0,22650.0,3.0,11.0,3.0,3.0,1.0,7.0,4.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0
30.0,288.0,2.0,3.0,3.0,99.0,2.0,2.0,4.0,4152.0,15830.0,1.0,19.0,3.0,1.0,3.0,11.0,3.0,3.0,11.0,10.0,10.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
33.0,587.0,10.0,1.0,1.0,38.0,1.0,1.0,4.0,3408.0,6705.0,7.0,13.0,3.0,1.0,3.0,8.0,2.0,3.0,4.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
31.0,335.0,9.0,2.0,3.0,46.0,2.0,1.0,1.0,2321.0,10322.0,0.0,22.0,4.0,1.0,0.0,4.0,0.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
36.0,566.0,18.0,4.0,3.0,81.0,4.0,1.0,4.0,3688.0,7122.0,4.0,18.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
43.0,1473.0,8.0,4.0,3.0,74.0,3.0,2.0,3.0,4522.0,2227.0,4.0,14.0,3.0,4.0,0.0,8.0,3.0,3.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
55.0,189.0,26.0,4.0,3.0,71.0,4.0,5.0,2.0,19636.0,25811.0,4.0,18.0,3.0,1.0,1.0,35.0,0.0,3.0,10.0,9.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
56.0,206.0,8.0,4.0,4.0,99.0,3.0,5.0,2.0,19717.0,4022.0,6.0,14.0,3.0,1.0,0.0,36.0,4.0,3.0,7.0,3.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
37.0,1439.0,4.0,1.0,3.0,54.0,3.0,1.0,3.0,2996.0,5182.0,7.0,15.0,3.0,4.0,0.0,8.0,2.0,3.0,6.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0
40.0,720.0,16.0,4.0,1.0,51.0,2.0,2.0,3.0,5094.0,11983.0,6.0,14.0,3.0,4.0,0.0,10.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
28.0,193.0,2.0,3.0,4.0,52.0,2.0,1.0,4.0,3867.0,14222.0,1.0,12.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
44.0,621.0,15.0,3.0,1.0,73.0,3.0,3.0,4.0,7978.0,14075.0,1.0,11.0,3.0,4.0,1.0,10.0,2.0,3.0,10.0,7.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
45.0,974.0,1.0,4.0,4.0,91.0,3.0,1.0,4.0,2270.0,11005.0,3.0,14.0,3.0,4.0,2.0,8.0,2.0,3.0,5.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
52.0,621.0,3.0,4.0,3.0,31.0,2.0,4.0,1.0,16856.0,10084.0,1.0,11.0,3.0,1.0,0.0,34.0,3.0,4.0,34.0,6.0,1.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
47.0,983.0,2.0,2.0,1.0,65.0,3.0,2.0,4.0,5070.0,7389.0,5.0,13.0,3.0,3.0,3.0,20.0,2.0,3.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
41.0,1360.0,12.0,3.0,2.0,49.0,3.0,5.0,3.0,19545.0,16280.0,1.0,12.0,3.0,4.0,0.0,23.0,0.0,3.0,22.0,15.0,15.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
36.0,557.0,3.0,3.0,1.0,94.0,2.0,3.0,4.0,7644.0,12695.0,0.0,19.0,3.0,3.0,2.0,10.0,2.0,3.0,9.0,7.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
44.0,383.0,1.0,5.0,1.0,79.0,3.0,2.0,3.0,4768.0,9282.0,7.0,12.0,3.0,3.0,1.0,11.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
50.0,410.0,28.0,3.0,4.0,39.0,2.0,3.0,1.0,10854.0,16586.0,4.0,13.0,3.0,2.0,1.0,20.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1
35.0,556.0,23.0,2.0,2.0,50.0,2.0,2.0,3.0,5916.0,15497.0,3.0,13.0,3.0,1.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
55.0,267.0,13.0,4.0,1.0,85.0,4.0,4.0,3.0,13695.0,9277.0,6.0,17.0,3.0,3.0,0.0,24.0,2.0,2.0,19.0,7.0,3.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
32.0,529.0,2.0,3.0,4.0,78.0,3.0,1.0,1.0,2439.0,11288.0,1.0,14.0,3.0,4.0,0.0,4.0,4.0,3.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
41.0,930.0,3.0,3.0,3.0,57.0,2.0,2.0,2.0,8938.0,12227.0,2.0,11.0,3.0,3.0,1.0,14.0,5.0,3.0,5.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
34.0,546.0,10.0,3.0,2.0,83.0,3.0,1.0,2.0,2008.0,6896.0,1.0,14.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
27.0,608.0,1.0,2.0,3.0,68.0,3.0,3.0,1.0,7412.0,6009.0,1.0,11.0,3.0,4.0,0.0,9.0,3.0,3.0,9.0,7.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
53.0,868.0,8.0,3.0,1.0,73.0,3.0,4.0,4.0,11836.0,22789.0,5.0,14.0,3.0,3.0,1.0,28.0,3.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
34.0,560.0,1.0,4.0,4.0,91.0,3.0,1.0,1.0,2996.0,20284.0,5.0,14.0,3.0,3.0,2.0,10.0,2.0,3.0,4.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
24.0,984.0,17.0,2.0,4.0,97.0,3.0,1.0,2.0,2210.0,3372.0,1.0,13.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
58.0,848.0,23.0,4.0,1.0,88.0,3.0,1.0,3.0,2372.0,26076.0,1.0,12.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
32.0,430.0,24.0,4.0,1.0,80.0,3.0,2.0,4.0,5309.0,21146.0,1.0,15.0,3.0,4.0,2.0,10.0,2.0,3.0,10.0,8.0,4.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
38.0,397.0,2.0,2.0,4.0,54.0,2.0,3.0,3.0,7756.0,14199.0,3.0,19.0,3.0,4.0,1.0,10.0,6.0,4.0,5.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
35.0,219.0,16.0,2.0,4.0,44.0,2.0,2.0,2.0,4788.0,25388.0,0.0,11.0,3.0,4.0,0.0,4.0,2.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
38.0,152.0,10.0,3.0,3.0,85.0,3.0,2.0,4.0,5666.0,19899.0,1.0,13.0,3.0,2.0,0.0,6.0,1.0,3.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
53.0,1168.0,24.0,4.0,1.0,66.0,3.0,3.0,1.0,10448.0,5843.0,6.0,13.0,3.0,2.0,0.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
31.0,691.0,7.0,3.0,4.0,73.0,3.0,2.0,4.0,7547.0,7143.0,4.0,12.0,3.0,4.0,3.0,13.0,3.0,3.0,7.0,7.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
30.0,921.0,1.0,3.0,4.0,38.0,1.0,1.0,3.0,3833.0,24375.0,3.0,21.0,4.0,3.0,2.0,7.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
30.0,1427.0,2.0,1.0,2.0,35.0,2.0,1.0,4.0,2720.0,11162.0,0.0,13.0,3.0,4.0,0.0,6.0,3.0,3.0,5.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
52.0,319.0,3.0,3.0,4.0,39.0,2.0,3.0,3.0,7969.0,19609.0,2.0,14.0,3.0,3.0,0.0,28.0,4.0,3.0,5.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
27.0,199.0,6.0,3.0,4.0,55.0,2.0,1.0,3.0,2539.0,7950.0,1.0,13.0,3.0,3.0,1.0,4.0,0.0,3.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
34.0,511.0,3.0,2.0,4.0,32.0,1.0,2.0,4.0,6029.0,25353.0,5.0,12.0,3.0,1.0,0.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
50.0,333.0,22.0,5.0,3.0,88.0,1.0,4.0,4.0,14411.0,24450.0,1.0,13.0,3.0,4.0,0.0,32.0,2.0,3.0,32.0,6.0,13.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
55.0,282.0,2.0,2.0,4.0,58.0,1.0,5.0,3.0,19187.0,6992.0,4.0,14.0,3.0,4.0,1.0,23.0,5.0,3.0,19.0,9.0,9.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
35.0,853.0,18.0,5.0,2.0,71.0,3.0,3.0,1.0,9069.0,11031.0,1.0,22.0,4.0,4.0,1.0,9.0,3.0,2.0,9.0,8.0,1.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
38.0,364.0,3.0,5.0,4.0,32.0,3.0,2.0,3.0,4317.0,2302.0,3.0,20.0,4.0,2.0,0.0,19.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
28.0,1451.0,2.0,1.0,1.0,67.0,2.0,1.0,2.0,3201.0,19911.0,0.0,17.0,3.0,1.0,0.0,6.0,2.0,1.0,5.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
42.0,335.0,23.0,2.0,4.0,37.0,2.0,2.0,3.0,4332.0,14811.0,1.0,12.0,3.0,4.0,0.0,20.0,2.0,3.0,20.0,9.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
